artists,album,title,title_with_featured,lyrics,url
J Balvin & Bad Bunny,Oasis,COMO UN BEBÉ,COMO UN BEBÉ (Ft. Mr Eazi),"[Letra de ""COMO UN BEBÉ"" ft. Mr Eazi]

[Intro: J Balvin]
Legendury Beatz
Yeah, Oasis
Leggo
Leggo

[Puente: J Balvin]
Trato, trato y queda nada
Peleamos otra vez (Otra vez, otra vez, otra vez, otra vez)
Trato, trato, a veces me habla
Y a veces no también (¿Por qué?), como un bebé
Mami, ya, mami, ya (Ya), me cansé de pelear (No)
Baby, ya, baby, ya (Ya), no esperes que yo responda
Y sólo dame un break, break, break
Creo que tú jodes como la ley (Uh)
No diga' de nuevo ""okay"", trátame bien, babe

[Coro: J Balvin, Mr Eazi & Bad Bunny]
Así que baila pa' mí, baila pa' mí
Me gusta la manera cuando me lo mueve' así
Así que baila pa' mí, baila pa' mí
Me gusta la manera cuando me lo mueve' así, yeah
Baila pa' mí, baila pa' mí
Me gusta la manera en que tú lo mueve' así
Baila pa' mí, baila pa' mí
Trátame bien, babe (Yeah)

[Puente: Bad Bunny]
Ey, ey, ey
Trato, trato y queda nada
Peleamos otra vez, ey, ey, ey (Ey)
Trato, trato, a veces me habla
Y a veces no también (¿Por qué?), como un bebé
Mami, ya, mami, ya me cansé de pelear
Baby, ya, baby, ya no esperes que yo responda
Y sólo dame un break, break, break (¡Break!)
Creo que tú jodes como la ley (¡Huh!)
No diga' de nuevo ""okay"", trátame bien

[Verso 1: Bad Bunny]
Yo no 'toy pa' pleito' (Pleito'), baila, que yo me deleito (-leito)
Al ritmo de mi canción (Huh), claro que tiene' razón
Yo no vo'a discutir, mejor te empieza' a desvestir, ey
Pa' que te vo'a mentir, ey? Chica, ya

[Coro: Bad Bunny, Mr Eazi & J Balvin]
Y dale, baila pa' mí, baila pa' mí
Me gusta la manera cuando me lo mueve' así
Así que baila pa' mi, baila pa' mí
Me gusta la manera cuando me lo mueve' así, yeah
Baila pa' mí, baila pa' mí
Me gusta la manera en que tú lo mueve' así (Eh)
Baila pa' mí, baila pa' mí
Eh, eh, eh, eh

[Verso 2: Mr Eazi]
Oya se jeje ma lo te
Nkan to ba fe ni mo fe
Oya se jeje ma lo te
Nkan to ba fe ni mo fe
Tell me what you want
Tell me what you want
You know I go give you, yeah yeah
If na lovin' you want
If na lovin' you need
You know I go give you jeje
Damilola, damilola
Girl your body long, no be banner
Mami, ya, mami, ya
Mami, dame un break, break, break

[Coro: Bad Bunny, Mr Eazi y J Balvin]
Y dale, baila pa' mí, baila pa' mí
Me gusta la manera cuando me lo mueve' así
Así que baila pa' mi, baila pa' mí, eh
Me gusta la manera cuando me lo mueve' así, yeah
Baila pa' mí, baila pa' mí
Me gusta la manera en que tú lo mueve' así
Baila pa' mí, baila pa' mí
Eh, eh, eh

[Outro: J Balvin, Mr Eazi & Bad Bunny]
Mr. Eazi, we make it easy
(Baila pa' mí)
Latino Gang, Oasis
Bad Bunny, baby
(Baila pa' mí)
J Balvin, baby
(Baila pa' mí)
Mr. Eazi, baby
(Baila pa' mí)
Everything, baby
(Baila pa' mí)
Yeah, yeah
Yeah, yeah",https://genius.com/J-balvin-and-bad-bunny-como-un-bebe-lyrics
Bad Bunny,YHLQMDLG,Si Veo a Tu Mamá,Si Veo a Tu Mamá,"[Letra de ""Si Veo a Tu Mamá""]

[Intro]
Yeh, yeh

[Coro]
Todavía yo te quiero
Pero sé que e' un error
Porque ya tú no me quieres
Y sin ti me va mejor
Y si veo a tu mamá (Ey)
Yo le pregunto por ti
Pa' ver si ya tienes a alguien (¿Uh?)
Alguien que te haga feliz

[Verso 1]
Y aquí estoy arrebata'o
Pensando en to'a las vece' que te lo metí
Pensando en to'a las vece' que estuve pa' ti (Pa' ti, pa' ti, pa' ti)
No sé por qué diablo' me engaño (No)
Diciendo que te olvidé cuando te extraño
Solo comparto memes, ya yo no escribo nada (Damn)
Y no he borra'o tu foto, solo la puse privada

[Verso 2]
Maldito año nuevo y lo que me trajo, ey
Me botaron del trabajo por estar mirando pa' abajo
Pensando en ti siempre cabizbajo
Me veo gordito, nada que rebajo (Nah)
No sé por qué la vida me ultrajo (No)
Pensando coger un atajo
Conocí a alguien, pero no sé, nunca encajo (Ah)
Al meno' que sea' tú (Tú, tú, tú, tú)
Baby, te quiero aunque diga lo contrario
Llevo sei' mese' solitario, pero

[Puente]
Hoy salí con lo' muchacho' a beber (Jaja)
Y dije que de ti no iba hablar (No, no, no)
Son las 5, ya va amanecer (Ku-ku-ku-ku)
Si no prenden, la voy a llamar
Hoy salí con lo' muchacho' a beber (Jaja)
Y dije que de ti no iba hablar (No, no, no)
Son las 5, ya va amanecer (Ku-ku-ku-ku)
Si no prenden, la voy a llamar

[Coro]
Todavía yo te quiero (Yo te quiero)
Pero sé que e' un error (Se hace, no)
Porque ya tú no me quieres (No, no)
Y sin ti me va mejor (Juju)
Y si veo a tu mamá (Mami), ey
Yo le pregunto por ti (Okey)
Pa' ver si ya tienes a alguien
Alguien que te haga feliz
Jajaja",https://genius.com/Bad-bunny-si-veo-a-tu-mama-lyrics
Bad Bunny,YHLQMDLG,La Difícil,La Difícil,"[Letra de ""La Difícil""]

[Pre-Coro]
Ella desaparece, pero aparece cuando le dan gana'
Han sido un par de vece', y si e' por mí le doy to'a la semana
Se hace la que no quiere, pero llama de madrugada
Terminaste sin ropa otra ve', pidiendo que te tocara, eh-eh

[Coro]
Se hace la difícil, pero se va
Anda con la amiga siempre arrebatá'
Pidiendo que le llegue, eh (Eh)
Que a ella me entregue, eh (Eh, eh)
Pidiendo que le llegue, eh (Eh, eh)
Aunque a vece' me niegue, eh (Ey, ey, ey, ey; prra)

[Verso]
Prende, pasa, dime qué pasó (Eh)
Quería un gatito y lo cazó (Lo cazó)
De la' relacione' se cansó (Ja)
La última que tuvo la atrasó (Ja; wuh)
Tú la ve' en el VIP, modelo como Hadid
Invicta como Khabib
Má' de cien cabrone' que ella deja en read (Read)
A vece' la' rola' y la weed (Weed)
Una estrella porno, chinga como Riley Reid (Wuh)

[Puente]
Tiene a to' lo' nene' loco y a la nena' loca' (Loca')
To' quieren besarle la boca, ey
Mírala cómo se toca (Wuh; se toca, se toca, se toca)
Bailando e' que me provoca
Tiene a to' lo' nene' loco y a la nena' loca' (Loca')
To' quieren besarle la boca, ey
Mírala cómo se toca (Se toca, se toca, se toca, ey)
Perreando e' que me provoca (¡Wuh!)

[Coro]
Se hace la difícil, pero se va
Anda con la amiga siempre arrebatá', ah-ah
Pidiendo que le llegue, eh
Que a ella me entregue, eh
Pidiendo que le llegue, eh
Aunque a vece' me niegue, eh (Ey, ey, ey, ey)

[Post-Coro]
Prende, pasa, dime qué pasó
Pre-Prende, pasa, dime qué pasó
Pre-Prende, pasa, dime qué pasó
Dime, qué pasó, ey
Tiene a to' lo' nene' loco y a la nena' loca', loca', loca', loca'
Tiene a to' lo' nene' loco y a la nena' loca', loca', loca', loca'

[Outro]
Eh-eh-eh, eh-eh-eh
Súbelo NEO
La Paciencia, ey
Bad Bunny, baby, bebé, eh, eh, eh
Bad Bunny, baby, bebé, eh, eh, eh
Wuh",https://genius.com/Bad-bunny-la-dificil-lyrics
Bad Bunny,YHLQMDLG,Pero Ya No,Pero Ya No,"[Letra de ""Pero Ya No""]

[Intro]
Yeh-yeh-yeh-yeh-yeh-yeh-yeh-yeh-eh
¡Ju! Okey, ey, ey

[Estribillo]
Ante' yo te quería, pero ya no
Tú me gustaba', pero ya no
Yo estaba pa' ti, pero ya no
Ey, pero ya no, ey, pero ya no
Ante' yo te quería, pero ya no
Tú me gustaba', pero ya no
Yo estaba pa' ti, pero ya no
Ey, pero ya no, ey, pero ya no (Ey, ey, ey, ey)

[Puente]
Conmigo ya no tiene' break, ey
Ya no quiero de tu amor fake, ey
Ya no estoy pa' ti, ya no estoy pa' ti
Conmigo ya no tiene' break, ey
Ya no quiero de tu amor fake, ey
Ya no estoy pa' ti, ya no estoy pa' ti

[Verso]
Ahora en toa' las rede' me sigue'
Sorry, mami, no me hostigue'
Pero como yo no se consigue
Tú fuera' mi J.Lo, yo tu Álex Rodrígue'
Pero, ahora me gusta otra sicaria que vive por Bayamón
A mí ya no me cachas, yo no soy un Pokémon
Tengo a otra que me brinca hasta que se joda el camón
No quiero que me llore', no venga' con el dramón, no
Que ya no estamo' pa' los tiempo' de la high, ey
Hace rato que te dije ""bye""
Gracias por el apoyo, baby, gracia' por los like'
Yo estoy con cinco cubana' y cuatro hookah en Mokai
Me compré una Hayabusa y no te vo' a dar una ride
En verda' prefiero dárselo a tu mai'
Contigo no me enfango, no vo' a manchar las Off-White
Si no te gusta, sorry, esa e' la que hay

[Estribillo]
Porque ante' yo te quería, pero ya no
Tú me gustaba', pero ya no
Yo estaba pa' ti, pero ya no
Ey, pero ya no, ey, pero ya no

[Outro]
¡Acho, bro!",https://genius.com/Bad-bunny-pero-ya-no-lyrics
Bad Bunny & Daddy Yankee,YHLQMDLG,La Santa,La Santa,"[Letra de ""La Santa""]

[Intro: Bad Bunny & Daddy Yankee]
Tú no ere' una santa, ni yo soy un santo
Nos conocimo' pecando
Ahora me está' buscando
Porque quiere más de mí (¡Bad!)
Y yo te lo doy (¡Bunny!)
Te viene' y me voy (DY)
Te lo dije que esto era pa' jugar
Que no te podía' enamorar (¡Sube, sube, plo!)

[Coro: Bad Bunny & Daddy Yankee]
Que ahora me quiere' cambiar
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (¿Qué, qué, qué?)
No te haga' la santa, el perreo te encanta (You know)
Y ahora me quiere' cambiar (Yeah-yeah, eh)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta (¡Da-ddy!)

[Verso 1: Daddy Yankee]
Mami, somo' polo positivo y negativo (¿Qué?)
A la flecha de Cupido siempre me le esquivo (Cucú)
Tenemo' secreto' guarda'o en el archivo
No va a haber confianza si contigo convivo, baby
'Tás calentándote (Wow), yo calentándome (Eh)
Y tú dice' que tú ere' brava, pero a vece' te me quita (Rrr)
Y vuelve' y me excita'
Pero yo no soy el hombre que necesita' (Yeh)

[Pre-Coro: Bad Bunny & Daddy Yankee]
Yo no voy con labia, no
Tú sabía' la que había, baby
El romance no e' mi área, no (¿Qué?)
No me diga' que te enamoraste de mí
Yo no voy con labia, no
Tú sabía' (Tú sabía'), la que había, baby (Baby)
El romance no e' mi área, no
No me diga' (No me diga'), que te enamoraste de mí (Mí)

[Coro: Bad Bunny & Daddy Yankee]
Y ahora me quiere' cambiar (Sube)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta
Y ahora me quiere' cambiar (Me quiere' cambiar)
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Trr)
No te haga' la santa, el perreo te encanta (Bad Bunny, come on)

[Verso 2: Bad Bunny & Daddy Yankee]
No me diga' que me quiere', no me diga' que me ama'
Tú sabe' que no te creo
Mucho meno' en tu cama
Seguimo' envuelto' en la bellaquera, ey
Ey, la noche entera
Eso de enamorarse no e' pa' cualquiera
Dejé el corazón dentro 'e la nevera
Lo tengo frío, frío, sorry, pero en nadie confío
Tú sigue en lo tuyo y yo en lo mío
Buena' noche', fue un placer, ey
Pero no me va' a convencer (Come, on)

[Pre-Coro: Bad Bunny & Daddy Yankee]
Yo no voy con labia, no
Tú sabía' la que había, baby
El romance no e' mi área, no
No me diga' que te enamoraste de mí
Yo no voy con labia, no
Tú sabía' (Tú sabía'), la que había, baby (Eh-eh)
El romance no e' mi área, no
No me diga' (No me diga'), que te enamoraste de mí (¿Qué?)

[Coro: Daddy Yankee & Bad Bunny]
Y ahora me quieres cambiar
Sabiendo cómo soy, tú sabe' lo que doy
No te haga', tú ere' igual (Tú ere' igual, bebé)
No te haga' la santa, el perreo te encanta
Y ahora me quiere' cambiar
Sabiendo cómo soy, tú sabe' lo que doy (Yo')
No te haga', tú ere' igual
No te haga' la santa, el perreo te encanta, eh

[Outro: Daddy Yankee]
Mucho party, mucho money
Daddy Yankee, Bad Bunny
Mucho party, mucho money
Daddy Yankee, Bad Bunny",https://genius.com/Bad-bunny-and-daddy-yankee-la-santa-lyrics
Bad Bunny,YHLQMDLG,Yo Perreo Sola,Yo Perreo Sola,"[Letra de ""Yo Perreo Sola"" ft. Nesi]

[Refrán: Nesi]
Ante' tú me pichaba' (Tú me pichaba')
Ahora yo picheo (Hmm, nah)
Antes tú no quería' (No quería')
Ahora yo no quiero (Hmm, no)
Ante' tú me pichaba' (-chaba')
Ahora yo picheo (Jaja)
Antes tú no quería' (Ey)
Ahora yo no quiero
No, tranqui

[Coro: Nesi & Bad Bunny]
Yo perreo sola (Hmm, ey)
Yo perreo sola (Perreo sola; jaja; hmm-hmm)
Yo perreo sola (Jaja, hmm; ey)
Yo perreo sola (Perreo sola)
Okay, okay, ey, ey, ey

[Verso 1: Bad Bunny]
Que ningún baboso se le pegue (No)
La disco se prende cuando ella llegue (¡Wuh!)
A los hombres los tiene de hobby
Una malcriá' como Nairobi (Jaja)
Y tú la ve' bebiendo de la botella (Ey)
Los nene' y las nena' quieren con ella
Tiene má' de veinte, me enseño la cédula (Ajá)
Ey, del amor e' una incrédula (¡Wuh!)
Ella está soltera antes que se pusiera de moda (Ey)
No cree en amor desde ""Amorfoda"" (No)
El DJ la pone y se las sabe todas
Se trepa en la mesa y que se jodan (Wuh)
En el perreo no se quita (¡No!)
Fuma y se pone bellaquita
Te llama si te necesita
Pero por ahora está solita

[Coro: Bad Bunny]
Ella perrea sola (Wuh)
Ey, ey, ey, ey, ey, ey
Ella perrea sola
(Perrea sola, ella perrea sola, sola, sola)
Ey, ella perrea sola
Ey, ey, ey, ey, ey, ey
Ella perrea sola (Ella perrea sola)
Ella perrea sola

[Verso 2: Bad Bunny]
Tiene una amiga problemática
Y otra que casi ni habla (No)
Pero las tre' son una' diabla' (Prr)
Y hoy se puso minifalda
Los phillie' en las Louis Vuitton los guarda

[Puente: Bad Bunny & Nesi]
Y me dice ""papi"" (Papi, sigue; yes, yes)
'Tá bien dura como Natti (Aah)
Borracha y loca, a ella no le importa (Woo)
Vamo' a perrear, la vida es corta, ey (Hoo)
Y me dice ""papi"" (Papi, sigue; yes, yes)
'Tá bien dura como Natti (Aah)
Despué' de las doce no se comporta (Ey)
Vamo' a perrear, la vida e' corta (Woo)

[Refrán: Nesi & Bad Bunny]
Ante' tú me pichaba' (Tú me pichaba')
Ahora yo picheo (Hmm, nah; loco)
Ante' tú no quería' (¿Pero cuándo yo dije eso?)
Ahora yo no quiero (Pero, pero; no)
Ante' tú me pichaba' (Nah)
Ahora yo picheo (Yo nunca te he picha'o, mami)
Ante' tú no quería' (Ay, Dio')
Ahora yo no quiero
No, tranqui

[Coro: Nesi]
Yo perreo sola (Hmm, ey)
Yo perreo sola (Perreo sola; jaja; hmm-hmm)
Yo perreo sola (Jaja, hmm; ey)
Yo perreo sola (Perreo sola)",https://genius.com/Bad-bunny-yo-perreo-sola-lyrics
Bad Bunny & Yaviah,YHLQMDLG,Bichiyal,Bichiyal,"[Letra de ""Bichiyal""]

[Intro: Yaviah]
Ah, ¡auh!

[Estribillo: Bad Bunny]
Ella está casi, casi soltera
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran
Porque está casi, casi soltera
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran, yeh

[Verso 1: Bad Bunny]
Yo la vi desde afuera
Tiene como a veinte en lista 'e espera
Sale pa' la calle y cojen la acera
El jevo peleando y esa no era
Un bellaqueo clandestino
Yo le meto como un submarino
Loca con los caco', pero que sean fino'
Chingó con el gato, pero no se vino
Tranquila, que yo te resuelvo
Me gusta', pero no me envuelvo
Dame eso, yo te lo devuelvo
Eh, eh, eh

[Pre-Estribillo: Bad Bunny]
Es una bichiyal
Le gusta montarse en los banshee y chillar
Se pasa pichando, pero la vo' a pillar
Ya son las die' y se empezó a maquillar
Hoy se puso traje, hoy se va a guillar
La' otra mordía', no las deja brillar
Una asesina, lo' mata con perreo
No sé cómo todavía no ha salío' en un video

[Estribillo: Bad Bunny & Yaviah]
Ella está casi, casi soltera (Hmm)
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran
Porque está casi, casi soltera (Hmm)
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran, yeh

[Puente: Yaviah]
En la suya con n-o-t-a
Y the r-o-p-a, yo sé que se va (Se va)
No quiere anillo ni s-o-g-a
Casi soltera, no quiere estar amarrá'
En la suya con n-o-t-a
Y the r-o-p-a, yo sé que se va (Se va)
No quiere anillo ni s-o-g-a
Casi soltera, no quiere estar amarrá' (Ja)

[Verso 2: Yaviah]
Yo sé que lo que quiere es ser descifrá' (Descifrá')
Seteá', bien-bien masterizá' (Masterizá')
Terminar en la cama amarrá' (Amarrá')
Como media virá' (Virá'), media asfixiá'
Y la piel erizá' (¡Auh!), enviciá'
Junkie, sexy, mami, desquiciá'
De mala e' la actitud (Ajá)
Bandolera, puedo captar su mood
I'm like, ""Tranqui, boo""
I know you want it (Uh-uh)
I know you want it
Lo que tú quiere' e' perreo y que aquel no llame (Oh-oh)
Está casi, casi—

[Estribillo: Bad Bunny]
Ella está casi, casi soltera
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran
Porque está casi, casi soltera
Un corillo de bandolera'
Quieren perreo la noche entera
Sin cojone' le tiene si se enteran, yeh

[Outro: Yaviah]
Ajá
Yo, Yaviah, ah
El Gato, El Conejo, animale' suelto', ouh",https://genius.com/Bad-bunny-and-yaviah-bichiyal-lyrics
Bad Bunny,YHLQMDLG,Soliá,Soliá,"[Letra de ""Soliá""]

[Pre-Coro]
Llegó soliá, salió sin la' amiga'
Revelá', en el alcohol buscando una salida
De esa relación de mentira
Mami, ya vi cómo me miras
Te lo repito por si se te olvida
Envíale un mensaje que diga

[Coro]
Que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
De mi parte le dice' que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
Eh, eh, eh, eh

[Post-Coro]
Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh
Eh, eh-eh
Oh-oh-oh-oh

[Verso]
Hoy quiere bailar la noche entera, eh
Está casi soltera
No le presento a nadie, eso le da flojera
Total, al final de la noche ella tiene lo que quiera
La luna ya le indicó
Subió algo pa'l story, alguien se picó
Sonó su canción y se la dedicó
Dice que quiere hacerlo conmigo rico, eh
Que lo' cristale' se empañen
La nena está grande, como pa' que alguien la regañe
La noche no le dañe, eh
Que la Kardashian ya no está pa' Kanye
Han sido mucha' decepcione', eh
Mentira' de to' esto' cabrone', eh
Una ve' má' le fallaron
Daría una oportunida', pero se le acabaron

[Pre-Coro]
Llegó soliá, salió sin la' amiga'
Revelá', en el alcohol buscando una salida
De esa relación de mentira
Mami, ya vi cómo me miras
Te lo repito por si se te olvida
Envíale un mensaje que diga

[Coro]
Que no te deje sola
Porque puede perderte
Si algún día vuelve a verte
De mi parte le dice' que no te deje sola
Porque puede perderte
Si algún día vuelve a verte",https://genius.com/Bad-bunny-solia-lyrics
Bad Bunny,YHLQMDLG,La Zona,La Zona,"[Letra de ""La Zona""]

[Intro: Bad Bunny]
Ello' rezan to' los día' pa' que nosotro' nos caigamo' (Uh-uh-uh-uh)
No nos dejamo' ver pero to' el mundo sabe donde e' que estamo', ey (Uh-uh-uh-uh)
La presión se siente siempre que llegamo', ey, ey (Uh-uh-uh-uh)
Le caemo' solo' y con babie' nos vamo' (Uh-uh-uh-uh)

[Estribillo: Bad Bunny]
Y si va' a matar la vibra pues salte (Salte)
Tú sabía' que yo venía a darte
No me venga' con que e' que uno llega tarde
Avísame, que tu amiguita está en fila pa' darle (Ey, ey)
Si va' a matar la vibra pues salte (Salte)
Tú sabía' que yo venía a darte
No me venga' con que e' que uno llega tarde (No)
Avísame, que tu amiguita está en fila pa' darle (Ey, ey, ey)

[Puente: Bad Bunny]
Baby, yo te vo’a guayar la zona
Me roncaste de salvaje, de Amazona
No se deja, ella misma las detona
Cualquier cabrón con ella no corona
Baby, yo te vo’a guayar la zona
Me roncaste de salvaje, de Amazona
No se deja, ella misma las detona
Cualquier cabrón con ella no—

[Verso: Bad Bunny]
Ey
Los sábado' en tacas, los vierne' en Retro (En Retro)
Hasta las hater' le tienen respeto
Ella no se mezcla con cualquier sujeto (Sujeto)
Yo le meto como agente secreto
El perreo en Brava, los munchies en Kintaro (Kintaro)
Cabrón, ¿tú no ve' que su flow e' caro?
La cartera Louis Vuitton original (Original)
Lo que pa' ti e' movie, pa' ella e' normal
Chingando paranormal
Y si le gusta, lo repite
Sino, delete, te jodiste
Si la ve' pasar, no le pite', ey
Que esa mami e' élite

[Estribillo: Bad Bunny]
Y si va' a matar la vibra pues salte (Salte)
Tú sabía' que yo venía a darte
No me venga' con que e' que uno llega tarde
Avísame, que tu amiguita está en fila pa' darle (Ey, ey)
Y si va' a matar la vibra pues salte (Salte)
Tú sabía' que yo venía a darte
No me venga' con que e' que uno llega tarde (No)
Avísame, que tu amiguita está en fila pa' darle

[Outro: Bad Bunny & Ñengo Flow]
Avísame, que tu amiguita está en fila pa' darle
Woh, woh (Pa' darle)
Avísame, que tu amiguita está en fi—
Yo Hago Lo Que Me Da La Gana
Lo que me sale 'e los cojone'",https://genius.com/Bad-bunny-la-zona-lyrics
Bad Bunny & Ñengo Flow,YHLQMDLG,Qué Malo,Qué Malo,"[Letra de ""Qué Malo""]

[Intro: Bad Bunny & Ñengo Flow]
Hace tiempo que no sube na'
Hoy puso que está soltera
Qué pena me da
De lo que uno se entera, eh-eh
Real G4 Life, baby
No sé por qué se dejó (Se dejó)
No sé por qué se dejó (Se dejó)
Pero

[Estribillo: Bad Bunny & Ñengo Flow]
Qué malo que te dejaste (Jajaja)
Del gatito que tenía', porque (Baby)
A mí me gustaba darte (Tú lo sabe')
Sabiendo que no era' mía y era' de él
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él

[Verso 1: Ñengo Flow]
Me encantaba castigarte cuando él se iba de la casa (Jajajaja)
Ese cabrón llamando y yo en tu cuarto dando salsa
Tiene el síntoma 'e venganza y 'tá en mi lanza la vampira
Mai', tú sigue bellaqueando que mi flow nunca se expira (Ey)
Quiere bellaqueo, me dice' que te dejaste, yo no lo creo
Si tú ere' una diabla en busca 'e perreo
Yo soy loco con tu piel, tú ere' loca con mi maleanteo
Quiere bellaqueo (Jajaja), me dice' que te dejaste, yo no lo creo
Si tú ere' una diabla en busca 'e perreo
Yo soy loco con tu piel, tú ere' loca con mi maleanteo (Jajajaja)
(Real G4 Life, baby)

[Estribillo: Ñengo Flow & Bad Bunny]
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él (Yeah, yeah, yeah, yeah; jajaja)
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte (¡Huh!)
Sabiendo que no era' mía y era' de él (Ey, ey, ey, ey)

[Verso 2: Bad Bunny & Ñengo Flow]
Ey
A ti te gustan los bandido'
A mí me gusta lo prohibido
Sin cojone' me tiene quedarme escondío' (No)
En lo que se iba tu marío', pero
Como quiera te vo' a ver, ey
Esta noche te lo vo' a poner
Dime, mami, ¿por qué ya no está' con él?
¿O e' que van a volver?, eh
Le gusta chingar en el carro y él se lo tinteó (Jejeje)
Pero fui yo quien le metió
Dijo que andaba con Valery, de nuevo mintió (Oh)
Se trepó y me lo partió
Ella se las pega y él pide perdón
Diablo, diablo, hay que ser cabrón
Puse algo de bellaquera y lo compartió
Pa' mí que se acordó de cuando este bicho sintió

[Estribillo: Bad Bunny]
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte (Ey, ey)
Sabiendo que no era' mía y eras de él (Ey, ey, ey)
Qué malo que te dejaste
Del gatito que tenía', porque
A mí me gustaba darte
Sabiendo que no era' mía y era' de él",https://genius.com/Bad-bunny-and-nengo-flow-que-malo-lyrics
Bad Bunny,YHLQMDLG,Vete,Vete,"[Letra de ""Vete""]

[Intro]
(Yeh-yeh-yeh-yeh, yeh-yeh-yeh-yeh)
Si te vas, yo quiero saber si tú te vas
Mami, cuando tú quieras, cuando tú quieras, yeh, yeh

[Coro]
Vete, eh-eh-eh
Nadie te está aguantando y la puerta está abierta, eh
No te preocupe' por nosotro' do', nuestra historia ya está muerta
Espero que seas feliz y que te diviertas, eh
Pero pa' acá no vuelvas, no-no-no-no
Vete, eh-eh-eh
Nadie te está aguantando y la puerta está abierta, eh
No te preocupe' por nosotro' do', nuestra historia ya está muerta
Espero que seas feliz y que te diviertas, eh
Pero pa' acá no vuelvas, no-no-no-no

[Verso]
Ey, dime, ¿qué esperas?
Baby, te quiero, pero afuera
Ere' alguien por dentro y otra por fuera
Y ya no siento nada cuando te encuera'
Dame-dame banda, eh
En mi corazón ya tú no ere' la que manda
Se acabó, por ti ya no siento nada
De nuestra serie ya no salen temporada'
Así que vete lejo', dile al diablo que te envíe el pin
Hace tiempo que no somo' un team
Pa'l carajo nuestro aniversario y San Valentín
Ya no hay más Christian Lou ni los traje' en satén
Síguelo, que está verde, eh
Que tiene' la culpa, es lo que te muerde
Quédate con el perro, pa' que de mí te acuerde'
Y piense' en to' lo que te pierde'

[Puente]
Pero te deseo suerte, ahora soy má' fuerte
Gracia' a to' lo que me hiciste, eh
Tú nunca me quisiste, eh
No sé por qué me insiste'
Pero te deseo suerte, ahora soy má' fuerte
Gracia' a to' lo que me hiciste, eh
Tú nunca me quisiste, eh
No sé por qué me insiste'

[Coro]
Vete, eh-eh-eh
Nadie te está aguantando y la puerta está abierta, eh
No te preocupe' por nosotro' do', nuestra historia ya está muerta
Espero que seas feliz y que te diviertas, eh
Pero pa' acá no vuelvas, no-no-no-no
Vete, eh-eh-eh
Nadie te está aguantando y la puerta está abierta, eh
No te preocupe' por nosotro' do', nuestra historia ya está muerta
Espero que seas feliz y que te diviertas, eh
Pero pa' acá no vuelvas, no-no-no-no

[Outro]
Hazen",https://genius.com/Bad-bunny-vete-lyrics
